INFO:root:Time 2021-01-31 22:39:07.931462, Epoch [0/1000], Step [19/497], d_loss_real:-15.6340 + d_loss_fake:-7.5744 + gradient_penalty:0.1210 = d_loss: -23.0875, g_loss: 11.6400, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:39:15.032058, Epoch [0/1000], Step [39/497], d_loss_real:-26.9662 + d_loss_fake:-20.9550 + gradient_penalty:0.7155 = d_loss: -47.2056, g_loss: 23.6394, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:39:22.234120, Epoch [0/1000], Step [59/497], d_loss_real:-38.4981 + d_loss_fake:-32.9873 + gradient_penalty:0.7960 = d_loss: -70.6893, g_loss: 34.8925, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:39:29.426184, Epoch [0/1000], Step [79/497], d_loss_real:-47.3470 + d_loss_fake:-27.4854 + gradient_penalty:1.5285 = d_loss: -73.3039, g_loss: 42.0843, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:39:36.598965, Epoch [0/1000], Step [99/497], d_loss_real:-53.6103 + d_loss_fake:-38.5439 + gradient_penalty:9.1588 = d_loss: -82.9955, g_loss: 50.2123, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:48:23.707639, Epoch [0/1000], Step [19/497], d_loss_real:-16.2068 + d_loss_fake:-6.8108 + gradient_penalty:0.1619 = d_loss: -22.8557, g_loss: 11.5057, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:48:31.094193, Epoch [0/1000], Step [39/497], d_loss_real:-27.2786 + d_loss_fake:-20.4065 + gradient_penalty:1.0111 = d_loss: -46.6740, g_loss: 23.5317, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:48:38.792366, Epoch [0/1000], Step [59/497], d_loss_real:-38.8238 + d_loss_fake:-31.8749 + gradient_penalty:0.5583 = d_loss: -70.1404, g_loss: 34.5406, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:48:46.426936, Epoch [0/1000], Step [79/497], d_loss_real:-48.1880 + d_loss_fake:-18.5325 + gradient_penalty:1.4983 = d_loss: -65.2222, g_loss: 41.1042, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:48:54.198844, Epoch [0/1000], Step [99/497], d_loss_real:-54.7293 + d_loss_fake:-24.8034 + gradient_penalty:4.3605 = d_loss: -75.1722, g_loss: 47.0651, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:49:01.816315, Epoch [0/1000], Step [119/497], d_loss_real:-51.0940 + d_loss_fake:-47.1401 + gradient_penalty:14.6286 = d_loss: -83.6055, g_loss: 55.9022, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:49:09.294269, Epoch [0/1000], Step [139/497], d_loss_real:-57.9775 + d_loss_fake:-44.6007 + gradient_penalty:16.2811 = d_loss: -86.2971, g_loss: 61.7013, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:49:16.977065, Epoch [0/1000], Step [159/497], d_loss_real:-54.1523 + d_loss_fake:-36.8700 + gradient_penalty:23.3030 = d_loss: -67.7193, g_loss: 60.4180, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:49:24.817045, Epoch [0/1000], Step [179/497], d_loss_real:-65.1233 + d_loss_fake:-38.8621 + gradient_penalty:27.9663 = d_loss: -76.0191, g_loss: 65.5652, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:49:32.627371, Epoch [0/1000], Step [199/497], d_loss_real:-78.6114 + d_loss_fake:-33.9015 + gradient_penalty:37.3922 = d_loss: -75.1207, g_loss: 66.8033, d_lr=0.000200,g_lr=0.000200
INFO:root:Time 2021-01-31 22:49:40.472451, Epoch [0/1000], Step [219/497], d_loss_real:-74.1715 + d_loss_fake:-46.7591 + gradient_penalty:37.1147 = d_loss: -83.8158, g_loss: 81.4025, d_lr=0.000200,g_lr=0.000200
